2026-03-29T11:38:59 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:00 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:00 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:00 | INFO     | api | POST /api/orders  body={'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 1.0, 'price': None, 'stop_price': None, 'time_in_force': 'GTC', 'reduce_only': False}
2026-03-29T11:39:00 | INFO     | bot.orders | Placing MARKET BUY BTCUSDT  qty=1.0  price=None
2026-03-29T11:39:00 | INFO     | bot.client | -> POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '1.0', 'timestamp': 1774764540713}
2026-03-29T11:39:00 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:00 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:39:00 | ERROR    | api | Binance API error: Binance API Error [-2015]: Invalid API-key, IP, or permissions for action
2026-03-29T11:39:01 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:02 | INFO     | api | POST /api/orders  body={'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': 1.0, 'price': None, 'stop_price': None, 'time_in_force': 'GTC', 'reduce_only': False}
2026-03-29T11:39:02 | INFO     | bot.orders | Placing MARKET BUY BTCUSDT  qty=1.0  price=None
2026-03-29T11:39:02 | INFO     | bot.client | -> POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '1.0', 'timestamp': 1774764542405}
2026-03-29T11:39:02 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:02 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:02 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:39:02 | ERROR    | api | Binance API error: Binance API Error [-2015]: Invalid API-key, IP, or permissions for action
2026-03-29T11:39:03 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:03 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:03 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:04 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:04 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:04 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:05 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:05 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:06 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:06 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:06 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:07 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:07 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:08 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:08 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:08 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:09 | INFO     | bot.client | -> GET /fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-03-29T11:39:09 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:09 | INFO     | bot.client | <- HTTP 200  body={"symbol":"BTCUSDT","price":"66825.20","time":1774764545013}
2026-03-29T11:39:09 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:10 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:10 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:39:10 | INFO     | api | Binance client closed.
2026-03-29T11:39:46 | INFO     | bot.client | -> GET /fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-03-29T11:39:47 | INFO     | bot.client | <- HTTP 200  body={"symbol":"BTCUSDT","price":"66825.20","time":1774764585395}
2026-03-29T11:39:47 | INFO     | bot.client | -> GET /fapi/v2/account  params={'timestamp': 1774764587081}
2026-03-29T11:39:47 | INFO     | bot.client | <- HTTP 401  body={"code":-2015,"msg":"Invalid API-key, IP, or permissions for action"}
2026-03-29T11:40:35 | INFO     | api | Binance client initialised.
2026-03-29T11:40:39 | INFO     | bot.client | -> GET /fapi/v1/ticker/price  params={'symbol': 'BTCUSDT'}
2026-03-29T11:40:39 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:39 | INFO     | bot.client | <- HTTP 200  body={"symbol":"BTCUSDT","price":"66813.00","time":1774764635221}
2026-03-29T11:40:39 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:40 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:40 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:40 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:41 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:41 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:42 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:42 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:42 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:43 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:43 | INFO     | watchfiles.main | 1 change detected
2026-03-29T11:40:44 | INFO     | watchfiles.main | 1 change detected
